%year month day hour minute sea-level-height flag1 flag2
2004 01 19 17 00 0.023 0.008 0
2004 01 19 18 00 0.100 0.003 0
2004 01 19 19 00 0.170 0.006 0
2004 01 19 20 00 0.258 0.003 0
2004 01 19 21 00 0.304 0.003 0
2004 01 19 22 00 0.368 0.007 0
2004 01 19 23 00 0.395 0.003 0
2004 01 20 00 00 0.409 0.004 0
2004 01 20 01 00 0.419 0.006 0
2004 01 20 02 00 0.394 0.003 0
2004 01 20 03 00 0.359 0.005 0
2004 01 20 04 00 0.294 0.002 0
2004 01 20 05 00 0.217 0.005 0
2004 01 20 06 00 0.132 0.003 0
2004 01 20 07 00 0.021 0.004 0
2004 01 20 08 00 -0.093 0.003 0
2004 01 20 09 00 -0.159 0.005 0
2004 01 20 10 00 -0.220 0.003 0
2004 01 20 11 00 -0.259 0.003 0
2004 01 20 12 00 -0.281 0.006 0
2004 01 20 13 00 -0.289 0.004 0
2004 01 20 14 00 -0.261 0.005 0
2004 01 20 15 00 -0.175 0.010 0
2004 01 20 16 00 -0.113 0.002 0
2004 01 20 17 00 -0.043 0.004 0
2004 01 20 18 00 0.048 0.007 0
2004 01 20 19 00 0.118 0.006 0
2004 01 20 20 00 0.192 0.002 0
2004 01 20 21 00 0.255 0.003 0
2004 01 20 22 00 0.318 0.004 0
2004 01 20 23 00 0.373 0.003 0
2004 01 21 00 00 0.403 0.001 0
2004 01 21 01 00 0.438 0.005 0
2004 01 21 02 00 0.436 0.001 0
2004 01 21 03 00 0.427 0.002 0
2004 01 21 04 00 0.394 0.001 0
2004 01 21 05 00 0.330 0.001 0
2004 01 21 06 00 0.254 0.004 0
2004 01 21 07 00 0.140 0.002 0
2004 01 21 08 00 0.035 0.004 0
2004 01 21 09 00 -0.078 0.008 0
2004 01 21 10 00 -0.170 0.009 0
2004 01 21 11 00 -0.252 0.004 0
2004 01 21 12 00 -0.273 0.002 0
2004 01 21 13 00 -0.293 0.009 0
2004 01 21 14 00 -0.299 0.008 0
2004 01 21 15 00 -0.276 0.004 0
2004 01 21 16 00 -0.221 0.002 0
2004 01 21 17 00 -0.128 0.002 0
2004 01 21 18 00 -0.059 0.005 0
2004 01 21 19 00 0.006 0.006 0
2004 01 21 20 00 0.086 0.002 0
2004 01 21 21 00 0.157 0.002 0
2004 01 21 22 00 0.225 0.003 0
2004 01 21 23 00 0.296 0.004 0
2004 01 22 00 00 0.338 0.004 0
2004 01 22 01 00 0.379 0.004 0
2004 01 22 02 00 0.395 0.003 0
